filename,question,position,n_events,bm25_n_selected,bm25_n_hits,bm25_precision,bm25_filtered_n_selected,bm25_filtered_n_hits,bm25_filtered_precision,dense_n_selected,dense_n_hits,dense_precision,ce_n_selected,ce_n_hits,ce_precision,qccs_n_selected,qccs_n_hits,qccs_precision
126391686.xml,Please show the patient's vital signs over the past 6 months,0.5757097791798107,541,25,15,0.6,25,14,0.56,25,17,0.68,25,19,0.76,20,0,0.0
127022669.xml,Does this patient take chronic steroids?,0.7543741588156124,1306,25,18,0.72,25,20,0.8,25,20,0.8,25,20,0.8,20,0,0.0
126326545.xml,Does this patient have any first degree relatives with early cardiovasulcar deat,0.195,169,24,17,0.7083333333333334,24,18,0.75,24,16,0.6666666666666666,24,8,0.3333333333333333,20,0,0.0
127790341.xml,Are there any firearms at home?,0.4104938271604938,261,25,10,0.4,25,5,0.2,25,0,0.0,25,1,0.04,20,0,0.0
124983950.xml,Provide contact information of this patient's care team.,0.6279926335174953,523,25,10,0.4,25,11,0.44,25,13,0.52,25,13,0.52,20,0,0.0
127159023.xml,Does this radiology report contain critical results that need to be communicated,0.9403409090909092,651,25,23,0.92,25,24,0.96,25,23,0.92,25,23,0.92,20,0,0.0
126061094.xml,Does this patient have claustrophobia?,0.6672850958565244,1366,25,21,0.84,24,20,0.8333333333333334,25,12,0.48,25,21,0.84,20,0,0.0
125332989.xml,Provide a detailed obstetrical history for this patient.,0.0,2146,25,6,0.24,25,9,0.36,25,4,0.16,25,9,0.36,20,0,0.0
125135676.xml,This patient has a newly detected small lung nodule (2 mm) in his left upper lob,0.2606691703653124,5268,25,19,0.76,25,20,0.8,25,20,0.8,25,20,0.8,20,0,0.0
126289805.xml,Does she smoke?,0.6,329,25,17,0.68,23,18,0.782608695652174,25,6,0.24,25,12,0.48,20,3,0.15
128506257.xml,"Does this patient often ""No Show"" for scheduled appointments?",0.5089285714285714,146,25,6,0.24,25,6,0.24,25,4,0.16,25,2,0.08,20,0,0.0
125066519.xml,Has the patient ever had a venous thrombotic event?,0.943661971830986,202,25,4,0.16,24,4,0.16666666666666666,25,6,0.24,25,3,0.12,20,0,0.0
127228947.xml,What details are missing from this clinical history that may be important in dev,0.9779411764705882,1177,25,18,0.72,25,19,0.76,25,19,0.76,25,20,0.8,20,0,0.0
125598950.xml,Were any adverse reactions to local anesthetics reported in this patient in the ,0.958041958041958,256,22,5,0.22727272727272727,22,5,0.22727272727272727,22,5,0.22727272727272727,23,2,0.08695652173913043,20,0,0.0
125332989.xml,List past medical history based on all prior clinical notes.,0.0,2146,25,21,0.84,25,21,0.84,25,13,0.52,25,21,0.84,20,0,0.0
126630417.xml,Whata are the patients most significant social determinants of health that need ,0.91995841995842,860,25,20,0.8,25,20,0.8,25,14,0.56,25,20,0.8,20,0,0.0
125232065.xml,Which diuretics has this patient tried,0.1918955776349113,4442,25,15,0.6,25,19,0.76,25,17,0.68,25,20,0.8,20,0,0.0
124609382.xml,Is the patient involved in selling guns or other firearms out of his home?,0.5431472081218274,185,23,5,0.21739130434782608,22,5,0.22727272727272727,24,5,0.20833333333333334,25,0,0.0,20,0,0.0
125477011.xml,What days of the week does he get dialysis?,0.3535453943008615,2712,25,20,0.8,25,20,0.8,25,20,0.8,25,20,0.8,20,0,0.0
126288775.xml,Has there been issues with non-compliance,0.8317214700193424,2309,25,21,0.84,25,22,0.88,25,19,0.76,25,22,0.88,20,0,0.0
125775163.xml,What is the patient's vaccination history for COVID,0.6050347222222222,1052,25,13,0.52,25,12,0.48,25,13,0.52,25,12,0.48,20,0,0.0
124819611.xml,"How often has this patient ""No Showed"" for appointments in the past five years?",0.6867469879518072,371,25,7,0.28,25,7,0.28,24,7,0.2916666666666667,23,0,0.0,20,0,0.0
126170351.xml,How many fetal ultrasound examination did we perform in 2021 in our institution?,0.1711409395973154,784,25,16,0.64,25,16,0.64,25,7,0.28,25,20,0.8,20,0,0.0
126738871.xml,How much does she drink usually?,0.9100817438692098,676,25,6,0.24,25,5,0.2,25,0,0.0,25,3,0.12,20,0,0.0
125014561.xml,What barriers to discharge for patients on my team can I address today?,0.6082920792079208,1420,25,18,0.72,25,19,0.76,25,17,0.68,25,20,0.8,20,0,0.0
127952117.xml,"What the patients body weight over the past five years, include all recorded cha",0.1111111111111111,286,25,15,0.6,24,12,0.5,25,12,0.48,25,10,0.4,20,0,0.0
127897783.xml,Has the patient experienced any adverse reactions to antibiotics?,0.0648854961832061,227,24,9,0.375,24,9,0.375,25,6,0.24,24,9,0.375,20,0,0.0
125051295.xml,"How much does the patient drink, low long has he/she been sober, when/if the pat",0.0938628158844765,241,25,19,0.76,25,19,0.76,25,15,0.6,25,6,0.24,20,0,0.0
126007728.xml,Is the patient compliant in taking medications,0.7554417413572343,719,25,14,0.56,25,14,0.56,25,17,0.68,25,18,0.72,20,0,0.0
128507005.xml,Summarize the patients ED/ urgent care visits over the past 5 years,0.0068965517241379,1718,25,23,0.92,25,25,1.0,25,23,0.92,25,24,0.96,20,0,0.0
128226755.xml,Summarize the most recent annual physical with the PCP,0.939879759519038,450,25,11,0.44,25,15,0.6,25,2,0.08,25,9,0.36,20,0,0.0
126529055.xml,Summarize all inflammation/ rheumatological lab tests the patient has had in a t,0.7014388489208633,747,23,15,0.6521739130434783,23,17,0.7391304347826086,25,11,0.44,23,12,0.5217391304347826,20,0,0.0
125527716.xml,Show me the drinking history of this patient,0.2707873436350257,1255,25,18,0.72,25,18,0.72,25,14,0.56,25,18,0.72,20,0,0.0
127310221.xml,"Based on the information I've included under HPI, what is a reasonable different",0.8854314002828855,616,25,18,0.72,25,18,0.72,25,18,0.72,25,20,0.8,20,0,0.0
124938510.xml,"Create patient instructions that summarize all the patient's medications, includ",0.7651006711409396,1024,24,16,0.6666666666666666,24,19,0.7916666666666666,25,16,0.64,25,19,0.76,20,0,0.0
127858887.xml,Create patient instructions for supportive care for an upper respiratory tract i,0.2708102108768035,740,25,20,0.8,25,20,0.8,25,19,0.76,25,20,0.8,20,0,0.0
127680685.xml,Who was the referring provider and what is the consult question?,0.618,457,25,21,0.84,25,21,0.84,25,10,0.4,25,17,0.68,20,0,0.0
128074264.xml,"Summarize all infectious laboratory work up the patient has had in a table, incl",0.0093167701863354,1238,25,4,0.16,25,10,0.4,25,9,0.36,25,12,0.48,20,0,0.0
125513857.xml,Did he ever have a blood pressure above 160 this admission?,0.3177041228779305,1156,25,7,0.28,25,10,0.4,25,2,0.08,25,8,0.32,20,0,0.0
127171480.xml,Does the patient typically sleep a lot during the day?,0.9514010507880912,1434,25,18,0.72,23,20,0.8695652173913043,25,17,0.68,25,21,0.84,20,0,0.0
125615374.xml,Did the patient need assistance when walking with physical therapy?,0.4605348988910632,2725,25,15,0.6,25,20,0.8,25,19,0.76,25,20,0.8,20,0,0.0
127092346.xml,"Summarize the list of specialists that this patient has seen in the last year, i",0.2419967444384156,1517,25,20,0.8,25,20,0.8,25,7,0.28,25,20,0.8,20,0,0.0
